SERIES_CODE,שם סדרה,FREQ,תדירות,IR_FV_TYPE,סוג ריבית,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MEASURE,יחידות מידה,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE,RELEASE_STATUS,שחרור תצפית
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1994-09,14,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1994-10,15.5,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1994-11,15.5,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1994-12,17,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-01,17,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-02,17,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-03,16.3,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-04,14.8,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-05,14,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-06,13.5,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-07,13.5,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-08,13.2,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-09,13.2,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-10,13.7,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-11,14.2,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1995-12,14.2,,
MNT_RIB_BOI_D,ריבית בנק ישראל,M,חודשי,RIB_BOI,ריבית בנק מרכזי מוצהרת נומינלית,BOI,בנק ישראל,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1996-01,13.7,,
