"Date","Price","Open","High","Low","Vol.","Change Avg"
"12/01/2023","3.6008","3.7248","3.7482","3.5945","","-3.28%"
"11/01/2023","3.7231","4.0426","4.0531","3.6679","","-7.77%"
"10/01/2023","4.0369","3.8107","4.0877","3.8059","","6.01%"
"09/01/2023","3.8080","3.8015","3.8603","3.7753","","0.19%"
"08/01/2023","3.8009","3.6653","3.8182","3.6295","","3.74%"
"07/01/2023","3.6640","3.7102","3.7309","3.5631","","-1.14%"
"06/01/2023","3.7061","3.7355","3.7562","3.5403","","-0.73%"
"05/01/2023","3.7333","3.6307","3.7509","3.6039","","3.05%"
"04/01/2023","3.6227","3.5993","3.6941","3.5586","","0.76%"
"03/01/2023","3.5953","3.6544","3.7141","3.5273","","-1.49%"
"02/01/2023","3.6496","3.4536","3.6945","3.3883","","5.81%"
"01/01/2023","3.4492","3.5140","3.5599","3.3456","","-1.95%"
"12/01/2022","3.5177","3.4299","3.5470","3.3740","","3.23%"
"11/01/2022","3.4076","3.5224","3.5840","3.3983","","-3.23%"
"10/01/2022","3.5214","3.5630","3.6167","3.4834","","-1.16%"
"09/01/2022","3.5628","3.3291","3.5782","3.3252","","7.05%"
"08/01/2022","3.3283","3.4005","3.4023","3.2239","","-2.02%"
"07/01/2022","3.3968","3.4967","3.5499","3.3790","","-2.81%"
"06/01/2022","3.4949","3.3248","3.5169","3.3115","","5.20%"
"05/01/2022","3.3221","3.3419","3.4751","3.3115","","-0.57%"
"04/01/2022","3.3412","3.1909","3.3519","3.1858","","4.74%"
"03/01/2022","3.1900","3.2071","3.3122","3.1655","","-0.46%"
"02/01/2022","3.2048","3.1651","3.2901","3.1522","","1.19%"
"01/01/2022","3.1671","3.1016","3.2075","3.0798","","2.01%"
"12/01/2021","3.1047","3.1511","3.1827","3.0891","","-1.41%"
"11/01/2021","3.1491","3.1600","3.1978","3.0405","","-0.31%"
"10/01/2021","3.1590","3.2247","3.2538","3.1456","","-2.00%"
"09/01/2021","3.2235","3.2051","3.2352","3.1956","","0.63%"
"08/01/2021","3.2032","3.2288","3.2550","3.2022","","-0.67%"
"07/01/2021","3.2248","3.2596","3.3038","3.2246","","-0.99%"
"06/01/2021","3.2570","3.2482","3.2858","3.2352","","0.31%"
"05/01/2021","3.2469","3.2449","3.3023","3.2383","","0.06%"
"04/01/2021","3.2449","3.3420","3.3463","3.2359","","-2.76%"
"03/01/2021","3.3370","3.3123","3.3538","3.2773","","0.84%"
"02/01/2021","3.3092","3.2790","3.3160","3.2333","","0.98%"
"01/01/2021","3.2771","3.2134","3.3019","3.1124","","2.07%"
